INFO:2022-11-15 14:56:04,619:Tomando screenshot 
INFO:2022-11-15 14:56:07,573:Fin del proceso
INFO:2022-11-15 16:46:40,113:Tomando screenshot 
INFO:2022-11-15 16:46:44,822:Fin del proceso
INFO:2022-11-15 17:15:05,459:analizando urls...
INFO:2022-11-15 17:16:06,534:Fin del proceso
INFO:2022-11-15 18:12:43,405:analizando urls...
INFO:2022-11-15 18:14:30,439:analizando urls...
INFO:2022-11-15 18:46:10,389:Tomando screenshot 
INFO:2022-11-15 18:46:10,467:Fin del proceso
INFO:2022-11-15 18:47:02,851:Tomando screenshot 
INFO:2022-11-15 18:47:02,917:Fin del proceso
INFO:2022-11-15 19:02:38,950:inicio de script powershell
INFO:2022-11-15 19:03:00,903:Fin del proceso
INFO:2022-11-15 19:08:23,542:inicio de script powershell
INFO:2022-11-15 19:08:34,569:Fin del proceso
INFO:2022-11-15 19:20:45,114:enctiptando
INFO:2022-11-15 19:21:04,419:Fin del proceso
INFO:2022-11-15 19:21:08,203:enctiptando
INFO:2022-11-15 19:21:15,812:Fin del proceso
INFO:2022-11-15 19:21:20,186:desenctiptando
INFO:2022-11-15 19:21:20,193:Fin del proceso
